timestamp,symbol,annual_rate,hourly_rate,open_interest,mark_price
2026-02-27T00:29:10.008720+00:00,BTC,7.429,0.000848,21202.90994,67239.0
2026-02-27T00:29:10.008720+00:00,ETH,6.9736,0.000796,618372.4737999996,2020.9
2026-02-27T00:29:10.008720+00:00,SOL,4.3833,0.0005,3202966.8,85.633
