timestamp,buy_volume,sell_volume,imbalance_ratio
2026-02-27T01:11:23.615360+00:00,35585.41,8463.63,0.6157
2026-02-27T01:13:37.986294+00:00,4006.23,12560.21,-0.5163
2026-02-27T01:17:34.174219+00:00,223.52,20411.26,-0.9783
