timestamp,signal_score,direction,top_pnl_bias
2026-02-27T01:11:37.584357+00:00,0.2593,LONG,0.2593
2026-02-27T01:13:53.836807+00:00,0.1852,LONG,0.1852
2026-02-27T01:17:49.524575+00:00,0.1852,LONG,0.1852
